#File S7: MergeMap consensus genetic map for Pinus taeda and Pinus elliottii with genomic sequence alignments and predicted genes functions based on transcript alignments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Legend: MergeMarkerID - identifier of marker used in input maps to allow consensus map merging, GeneSeqID - identifier used in alignment analysis of a marker's sequence (see File S5), LG - linkage group, LG_pos_cM - centiMorgan position of the locus in the linkage group, Pos_lCI - cM position of the lower bound of locus 95% confidence interval, Pos_uCI - cM position of the upper bound of locus 95% CI, Delta_CIbounds - cM difference between upper and lower 95% CI, MarkerID - identifier for the specific marker allele mapped in a contributing input map, Marker_type - type of allele segregating for the locus (SNP - single nucleotide polymorphism; RFLP - restriction fragment length polymorphism; PAV - presence-absence variant; SSR - simple sequence repeat; estSSR - SSR from an expressed sequence tag; ESTP - expressed sequence tag polymorphism), Seg_qtl-base1 - the present or absent in the qtl-base1 map, Seg_qtl-base2 - present or absent in the qtl-base2 map, Seg_BC1 - present or absent in the BC1 map, Seg_10-5 - present (1) or absent (0) in the 10-5 map, Aligned_scaff_ID - scaffold or contig identifier of Pinus taeda RefSeq assembly v1.01, Aligned_genome_coord - start position..stop position for the best alignment  of the scaffold_ID with the marker GeneSeqID, Genome_pct_aligned - percent nucleotide sequence aligned length between the marker and P. taeda genome sequence, Genome_pct_ID - percent nucleotide sequence identity between the marker and aligned P. taeda genome sequence, Aligned_transcript(Accession_Pending) - predicted full-length Pinus taeda trascript ID - not yet assigned pending publication by Mockaitis et al., ESTvTr_pctID - percent nucleotide sequence identity between the EST marker and transcript, ESTvTr_alignlen - nucleotide length of alignment between the EST marker and transcript, ESTvTr_evalue - E-value of alignment between the EST marker and transcript, ESTvTr_bitscore - Bitscore of alignment between the EST marker and transcript, Aligned_CDD -  NCBI Conserved Domain Database accessionID assigned to the transcript, CDD_desc - description of the protein domain from the NCBI Conserved domain database, Tr_CDD_pctID - percent sequence identity between the transcript and the domain from the NCBI CDD, Tr_CDD_alignlen - length of alignment between the transcript and the domain  , Tr_CDD_evalue - E-value of alignment between the transcript and the domain, Tr_CDD_bitscore - Bitscore of alignment between the transcript and the domain, Aligned_AGI_prot - TAIR accession ID of the Arabidosis AGI map gene model with the highest amino acid sequence identity with the assigned translated P. taeda transcript, Prot_desc - description of the protein function of the TAIR gene model, Tr_AGI_pctID - percent amino acid sequence identity between the Arabidopsis and P. taeda proteins, Tr_AGI_alignlen - length of alignment between Arabidopsis and P. taeda transcripts, Tr_AGI_evalue - E-value of alignment between Arabidopsis and P.taeda transcripts, Tr_AGI_bitscore - Bitscore of alignment between Arabidopsis and P.taeda transcripts, MarkerAcc - NCBI/GenBank accession number for the marker sequence or for the best blastn match to the marker sequence, NP - the gene is reported on the 10-5 map3 of Neves et al. 2014 but was not positioned on our consensus map, NA - information not available."

MergeMarkerID,GeneSeqID,LG,LG_pos_cM,Pos_lCI,Pos_uCI,Delta_CIbounds,MarkerID,Marker_type,Seg_qtl-base1,Seg_qtl-base2,Seg_BC1,Seg_10-5,Aligned_scaff_ID,Aligned_genome_coord,Genome_pct_aligned,Genome_pct_ID,Aligned_transcript(Accession_Pending),ESTvTr_pctID,ESTvTr_alignlen,ESTvTr_evalue,ESTvTr_bitscore,Aligned_CDD,CDD_desc,Tr_CDD_pID,Tr_CDD_alignlen,Tr_CDD_evalue,Tr_CDD_bitscore,Aligned_AGI_prot,Prot_desc,Tr_AGI_pctID,Tr_AGI_alignlen,Tr_AGI_evalue,Tr_AGI_bitscore,MarkerAcc
UMN_2074,UMN_2074,8,136.3,135.92,136.69,0.77,UMN_2074_315,SNP,0,0,0,1,scaffold881727,123767--124321,88.4,91.9,AP,87.77,556,0,691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|BQ634606.1
estPtIFG_2781_a,PtIFG_2781,8,136.78,136.4,137.16,0.76,estPtIFG_2781_a,ESTP,1,0,0,0,tscaffold6137,154887--155082,97.4,95.4,AP,95.92,196,2.00E-79,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|H75231
2_5697,2_5697,8,137.33,136.95,137.72,0.77,2_5697_406,SNP,0,0,0,1,scaffold297174,29924--29040,100,100,AP,100,885,0,1597,CDD|173623,cd00180; PKc; Catalytic domain of Protein Kinases; len=215,17.56,205,6.00E-14,69.2,AT1G69220.1,Kinase superfamily protein,17.45,298,4.00E-60,209,gb|DR163124.1
UMN_2781,UMN_2781,8,137.36,136.98,137.74,0.76,UMN_2781_01_58,SNP,0,1,0,0,tscaffold5878,577320--577571,100,100,AP,100,252,2.00E-126,455,CDD|217390,pfam03151; TPT; Triose-phosphate Transporter family; len=149,36.91,149,1.00E-35,129,AT5G17630.1,Nucleotide/sugar transporter family protein,74.42,344,2.00E-38,144,gb|BE643953.1
CL3155Contig1,CL3155Contig1,8,137.36,136.98,137.74,0.76,CL3155Contig1_03_72,SNP,0,1,0,0,tscaffold2197,1630600--1629879,100,99.3,AP,99.31,722,0,1279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|DR160595.1
0_10787,0_10787,8,137.68,137.3,138.06,0.76,0_10787_598,SNP,0,0,0,1,scaffold830380,5186--5043,20,98.6,AP,100,721,0,1301,NA,NA,NA,NA,NA,NA,AT1G56423.1,Uncharacterized protein,60.55,218,2.00E-97,289,gb|DR052658.1
0_13494,0_13494,8,137.91,137.53,138.29,0.76,0_13494_01_36,SNP,0,1,0,0,scaffold190306.1,239422--239969,100,99.8,AP,99.82,548,0,980,NA,NA,NA,NA,NA,NA,AT4G28100.1,Uncharacterized protein,51.87,187,3.00E-56,184,gb|DR118602.1
0_2340,0_2340,8,137.99,137.61,138.37,0.76,0_2340_02_66,SNP,0,1,0,0,scaffold332111,63551--63058,100,97,AP,100,493,0,890,CDD|237988,cd00021; BBOX; B-Box-type zinc finger; len=39,37.21,43,2.00E-06,40.7,AT4G27310.1,B-box type zinc finger family protein,55.7,79,2.00E-19,81.2,gb|DR011794.1
PtRIP_0658,PtRIP_0658,8,138.21,137.83,138.58,0.75,PtRIP_0658,SSR,1,0,0,0,C32462034,30554--51279,58.5,96.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|BV683099
UMN_4176,UMN_4176,8,138.3,137.91,138.68,0.77,UMN_4176_173,SNP,0,0,0,1,scaffold156914.1,99229--99824,100,99.2,AP,99.5,596,0,1061,CDD|224896,COG1985; RibD; Pyrimidine reductase; riboflavin biosynthesis; len=218,43.69,103,4.00E-30,113,AT3G47390.2,Cytidine/deoxycytidylate deaminase family protein,52.1,286,1.00E-72,236,gb|DT627426.1
PtTX3034,PtTX3034,8,138.72,138.35,139.1,0.75,PtTX3034,SSR,1,0,0,0,scaffold19810,2141--1643,100,97.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|BV728857
UMN_4225,UMN_4225,8,139.51,139.13,139.89,0.76,UMN_4225_01_620,SNP,0,1,0,0,C32437246,40136--39063,99.3,99.6,AP,99.65,282,3.00E-141,500,CDD|222204,pfam13532; 2OG-FeII_Oxy_2; 2OG-Fe(II) oxygenase superfamily; len=190,33.63,223,2.00E-51,177,AT3G47610.1,Transcription regulators/zinc ion binding protein,35.01,377,1.00E-64,221,gb|BE997128.1
0_17485,0_17485,8,139.82,139.44,140.2,0.76,0_17485_01_52,SNP,0,1,0,1,scaffold883963,19191--7793,100,93.7,AP,99.5,793,0,1415,CDD|217048,pfam02458; Transferase family; len=432,38.1,147,1.00E-27,105,AT1G65450.3,HXXXD-type acyl-transferase family protein,29.73,148,1.00E-36,129,gb|DR101534.1
0_4985,0_4985,8,140.58,140.2,140.96,0.76,0_4985_02_286,SNP,0,1,0,0,C31467384,2237--2939,99.7,99.4,AP,96.32,680,0,1115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|CF402097.1
0_14917,0_14917,8,141.98,141.59,142.36,0.77,0_14917_733,SNP,0,0,0,1,tscaffold245,2439720--2438921,77,88.7,AP,98.36,854,0,1471,NA,NA,NA,NA,NA,NA,AT3G16830.1,TOPLESS-related 2,51.56,64,3.00E-14,68.9,gb|DR060471.1
CL3224Contig1,CL3224Contig1,8,142.02,141.64,142.39,0.75,CL3224Contig1_04_133,SNP,0,1,0,0,scaffold459435.1,165131--166151,97.4,100,AP,100,1021,0,1842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|CO164863.1
UMN_3115,UMN_3115,8,143.76,143.38,144.14,0.76,UMN_3115_02_57,SNP,0,0,1,0,tscaffold5456,121098--119594,100,99.8,AP,99.84,616,0,1106,NA,NA,NA,NA,NA,NA,AT2G38440.1,SCAR,58.29,211,5.00E-69,256,gb|BM427966.1
CL2360Contig1,CL2360Contig1,8,144.88,144.5,145.26,0.76,CL2360Contig1_04_74,SNP,0,1,1,0,tscaffold4919,3213--4660,99.3,99.7,AP,99.81,1051,0,1887,CDD|234082,TIGR02997; Sig70-cyanoRpoD; RNA polymerase sigma factor; cyanobacterial RpoD-like family; len=298,40.89,291,1.00E-74,240,AT1G64860.1,Sigma factor A,46.64,521,2.00E-116,356,gb|DR167628.1
0_18916,0_18916,8,145.35,144.96,145.74,0.78,0_18916_206,SNP,0,0,0,1,tscaffold2120,4079748--4080639,99.7,99.1,AP,99.78,892,0,1600,CDD|214884,smart00886; Dabb; Stress responsive A/B Barrel Domain; len=97,34.02,97,3.00E-22,87.7,AT2G31670.1,Stress responsive alpha-beta barrel domain protein,40.95,210,4.00E-51,169,gb|DR016274.1
UMN_2043,UMN_2043,8,145.65,145.26,146.03,0.77,UMN_2043_222,SNP,0,0,0,1,scaffold165396,71119--68238,99.2,99,AP,98.9,907,0,1591,CDD|216104,pfam00759; Glyco_hydro_9; Glycosyl hydrolase family 9; len=437,46.98,464,5.00E-179,512,AT2G32990.1,Glycosyl hydrolase 9B8,46.71,501,0,583,gb|BQ198340.1
UMN_5309,UMN_5309,8,146.02,145.64,146.4,0.76,UMN_5309_152,SNP,0,0,1,1,tscaffold5392,42259--40022,98.8,99.8,AP,99.79,485,0,870,CDD|217474,pfam03283; PAE; Pectinacetylesterase; len=362,61.33,362,0,544,AT1G57590.1,Pectinacetylesterase family protein,52.99,402,0,555,gb|AW981949.1
UMN_3647,UMN_3647,8,146.2,145.81,146.58,0.77,UMN_3647_01_376,SNP,0,1,1,0,tscaffold1696,337760--337089,100,99.4,AP,99.6,500,0,886,CDD|217474,pfam03283; PAE; Pectinacetylesterase; len=362,54.11,353,2.00E-172,491,AT1G57590.1,Pectinacetylesterase family protein,50.68,365,0,556,gb|BQ655820.1
0_15894,0_15894,8,146.42,146.02,146.83,0.81,0_15894_301,SNP,0,0,0,1,tscaffold2687,717761--581988,87.1,99.7,AP,100,756,0,1364,CDD|200465,cd11326; AmyAc_Glg_debranch; Alpha amylase catalytic domain found in glycogen debranching; len=433,42.94,354,1.00E-106,325,AT4G09020.1,Isoamylase 3,40.63,443,4.00E-145,436,gb|CX712556.1
2_31,2_31,8,146.63,146.24,147.01,0.77,2_31_02_67,SNP,0,1,0,0,scaffold898380.3,1903--3673,100,99.6,AP,99.89,947,0,1700,CDD|117164,pfam08590; DUF1771; Domain of unknown function; len=66,43.75,64,2.00E-15,71.9,AT2G26280.1,CTC-interacting domain 7,46.4,584,3.00E-132,402,gb|DR057724.1
0_6046,0_6046,8,146.71,146.31,147.12,0.81,0_6046_207,SNP,0,0,0,1,scaffold751961,222234--223389,100,96.6,AP,99.82,541,0,971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|CO362120.1
0_2214,0_2214,8,146.77,146.36,147.18,0.82,0_2214_274,SNP,0,0,0,1,scaffold758812.1,1780--1023,100,99.9,AP,99.08,758,0,1341,CDD|217386,pfam03141; Methyltransf_29; S-adenosyl-L-methionine-dependent methyltransferase; len=506,51.27,513,0,731,AT2G39750.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,41.56,551,0,752,gb|CO170998.1
0_1798,0_1798,8,146.84,146.43,147.25,0.82,0_1798_102,SNP,0,0,0,1,tscaffold3033,455206--454829,96.4,98.9,AP,100,378,0,682,CDD|215090,PLN00176; Galactinol synthase; len=333,72.38,344,0,642,AT1G60470.1,Galactinol synthase 4,69.28,345,2.00E-140,405,gb|CO175099.1
0_5897,0_5897,8,146.85,146.44,147.26,0.82,0_5897_407,SNP,0,0,0,1,tscaffold1098,9852--10516,98.8,97.6,AP,99.1,666,0,1171,CDD|216202,pfam00931; NB-ARC domain protein; len=285,25.51,98,2.00E-08,52.7,AT1G61180.1,LRR and NB-ARC domains-containing disease resistance protein,23.92,255,4.00E-25,105,gb|DR176965.1
0_18153,0_18153,8,147.59,147.21,147.97,0.76,0_18153_01_887,SNP,0,0,1,0,tscaffold4931,35114--32801,100,99.5,AP,99.53,852,0,1519,CDD|217474,pfam03283; PAE; Pectinacetylesterase; len=362,60.06,358,0,528,AT5G26670.1,Pectinacetylesterase family protein,55.23,373,0,565,gb|DR020000.1
2_7591,2_7591,8,147.84,147.46,148.22,0.76,2_7591_01_364,SNP,0,1,0,0,C32556680,127045--127773,99.6,99.9,AP,99.45,729,0,1301,CDD|238125,cd00204; ANK; Ankyrin repeats; len=126,41.67,120,2.00E-27,100,AT5G07840.1,Ankyrin repeat family protein,65.77,149,7.00E-47,154,gb|DR168831.1
2_2527,2_2527,8,148.09,147.71,148.47,0.76,2_2527_02_153,SNP,0,1,1,1,tscaffold4921,709403--710456,100,97.4,AP,98.95,861,0,1519,CDD|220377,pfam09747; DUF2052; Coiled-coil domain containing protein; len=178,32.5,200,1.00E-29,112,AT5G47090.1,Uncharacterized protein,46.77,310,3.00E-73,232,gb|CO361133.1
UMN_5272,UMN_5272,8,149.19,148.81,149.57,0.76,UMN_5272_01_394,SNP,0,1,1,0,tscaffold6199,92625--91837,100,99.5,AP,99.62,789,0,1409,CDD|236453,PRK09287; 6-phosphogluconate dehydrogenase; len=459,57.73,459,0,781,AT3G02360.1,6-phosphogluconate dehydrogenase family protein,83.99,481,0,796,gb|DR102581.1
2_3820,2_3820,8,149.5,149.12,149.88,0.76,2_3820_01_156,SNP,0,1,0,1,scaffold846350,58489--57625,100,99.9,AP,99.54,865,0,1546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|CO365219.1
UMN_897,UMN_897,8,149.56,149.18,149.94,0.76,UMN_897_01_389,SNP,0,1,0,0,tscaffold2148,277035--277498,91.9,98.3,AP,96.17,496,0,801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|DT633626.1
CL1107Contig1,CL1107Contig1,8,149.95,149.57,150.33,0.76,CL1107Contig1_05_68,SNP,0,1,0,0,tscaffold6199,91874--90626,99.7,99.6,AP,99.92,1249,0,2244,CDD|236453,PRK09287; 6-phosphogluconate dehydrogenase; len=459,57.95,459,0,782,AT3G02360.1,6-phosphogluconate dehydrogenase family protein,83.58,481,0,793,gb|DR059662.1
0_16079,0_16079,8,150.04,149.65,150.42,0.77,0_16079_477,SNP,0,0,0,1,scaffold900029,70665--71278,98.7,99.8,AP,100,614,0,1108,CDD|215690,pfam00069; Pkinase; Kinase domain protein; len=260,30.65,261,7.00E-54,183,AT1G02970.1,WEE1 kinase,46.31,434,2.00E-114,350,gb|DR111107.1
0_9624,0_9624,8,150.18,149.8,150.56,0.76,0_9624_529,SNP,0,0,0,1,tscaffold8345,252700--253510,99.6,99.9,AP,95.02,803,0,1272,NA,NA,NA,NA,NA,NA,AT1G34370.1,C2H2 and C2HC zinc fingers superfamily protein,41.92,334,3.00E-78,254,gb|CO361929.1
0_8801,0_8801,8,150.21,149.83,150.59,0.76,0_8801_228,SNP,0,0,0,1,tscaffold3312,54806--55595,100,100,AP,100,790,0,1425,CDD|217595,pfam03514; GRAS family transcription factor; len=372,33.59,393,9.00E-88,279,AT5G48150.2,GRAS family transcription factor,27.34,395,1.00E-134,406,gb|CX651084.1
SsrPt_ctg1376,SsrPt_ctg1376,8,150.77,150.39,151.15,0.76,SsrPt_ctg1376,estSSR,1,0,0,0,tscaffold1619,2299568--2299730,97.4,91.2,AP,97.37,152,8.00E-66,255,CDD|153133,cd01583; IPMI; 3-isopropylmalate dehydratase catalyzes the isomerization; len=382,45.07,406,0,548,AT4G13430.1,Isopropyl malate isomerase large subunit 1,73.77,507,0,688,gb|BV728806
0_12914,0_12914,8,150.9,150.52,151.28,0.76,0_12914_429,SNP,0,0,0,1,scaffold8851,14591--13445,88.6,97.8,AP,97.57,822,0,1382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|CO363477.1
UMN_5229,UMN_5229,8,151.06,150.68,151.44,0.76,UMN_5229_01_223,SNP,0,1,0,0,scaffold165396,67776--66692,97.3,98,AP,98.35,605,0,1047,CDD|216104,pfam00759; Glyco_hydro_9; Glycosyl hydrolase family 9; len=437,46.98,464,5.00E-179,512,AT2G32990.1,Glycosyl hydrolase 9B8,46.71,501,0,583,gb|BM367436.1
CL3041Contig1,CL3041Contig1,8,152.12,151.74,152.5,0.76,CL3041Contig1_07_366,SNP,0,1,0,0,tscaffold6332,48789--57357,100,99.9,AP,99.7,1656,0,2969,CDD|215726,pfam00112; Peptidase_C1; Papain family cysteine protease; len=213,52.51,219,3.00E-110,323,AT5G60360.1,Aleurain-like protease,64.58,336,1.00E-149,430,gb|CO200116.1
0_17579,0_17579,8,152.23,151.85,152.61,0.76,0_17579_01_392,SNP,0,1,1,1,tscaffold2699,337315--338242,100,100,AP,100,816,0,1472,CDD|223588,COG0514; RecQ; Superfamily II DNA helicase; len=590,33.48,454,3.00E-88,288,AT1G31360.2,RECQ helicase L2,55.17,484,2.00E-116,364,gb|DR093262.1
0_7744,0_7744,8,152.73,152.35,153.11,0.76,0_7744_02_174,SNP,0,0,1,0,C32151002,11017--10213,100,99.3,AP,99.45,545,0,969,NA,NA,NA,NA,NA,NA,AT2G30370.1,Allergen-related protein,76.67,60,2.00E-22,87.7,gb|CF389532.1
0_16446,0_16446,8,153.66,153.27,154.04,0.77,0_16446_170,SNP,0,0,1,1,tscaffold3511,229963--230883,99.4,99.9,AP,99.85,671,0,1205,NA,NA,NA,NA,NA,NA,AT1G65470.2,Chromatin assembly factor-1 FASCIATA1) (FAS1,39.22,153,9.00E-25,102,gb|DR094520.1
UMN_4710,UMN_4710,8,153.69,153.31,154.07,0.76,UMN_4710_109,SNP,0,0,0,1,tscaffold8345,77393--76993,100,99.5,AP,100,401,0,724,CDD|219580,pfam07793; DUF1631; Unknown function; len=729,33.68,95,0.01,37.3,AT1G34370.1,C2H2 and C2HC zinc fingers superfamily protein,40.06,352,2.00E-69,234,gb|BG275997.1
UMN_6123,UMN_6123,8,153.9,153.52,154.29,0.77,UMN_6123_145,SNP,0,0,0,1,tscaffold7191,415644--415864,86,99.5,AP,99.11,224,7.00E-108,396,CDD|220799,pfam10536; PMD; Plant mobile domain; len=357,26.67,270,1.00E-15,77.4,AT1G48120.1,Hydrolases/protein serine/threonine phosphatases,19.12,272,1.00E-55,206,gb|BM367504.1
PtSIFG_0587,PtSIFG_0587,8,156.59,156.21,156.97,0.76,PtSIFG_0587,estSSR,1,0,0,0,scaffold388705,41633--42388,100,99.9,AP,99.74,756,0,1355,CDD|240271,PTZ00108; DNA topoisomerase 2-like protein; len=1388,18.95,306,1.00E-14,75.1,AT3G23890.1,Topoisomerase II,18.27,323,1.00E-14,76.8,gb|BV728756
2_2960,2_2960,8,157.25,156.87,157.63,0.76,2_2960_02_63,SNP,0,1,1,1,tscaffold5383,519877--517300,100,99.8,AP,99.88,821,0,1476,CDD|238039,cd00086; homeodomain; Homeodomain; len=59,40.68,59,2.00E-15,69.2,AT4G17460.1,Homeobox-leucine zipper protein 4 (HB-4) / HD-ZIP protein,43.68,261,2.00E-61,200,gb|DT631958.1
0_7779,0_7779,8,157.78,157.39,158.16,0.77,0_7779_390,SNP,0,0,0,1,C32404420,20237--21871,100,94.7,AP,99.71,678,0,1216,CDD|219160,pfam06749; DUF1218; Unknown function; len=97,34.38,96,2.00E-17,74.6,AT5G17210.1,Uncharacterized protein,28.65,178,3.00E-40,139,gb|CF389753.1
CL2369Contig1,CL2369Contig1,8,157.83,157.45,158.21,0.76,CL2369Contig1_03_102,SNP,0,1,0,0,C30557946,500--1464,100,99.7,AP,99.48,965,0,1719,CDD|219580,pfam07793; DUF1631; Unknown function; len=729,31.91,94,0.003,39.2,AT1G34370.1,C2H2 and C2HC zinc fingers superfamily protein,36.99,392,6.00E-70,235,gb|CV035281.1
PtIFG_616,PtIFG_616,8,158.24,157.86,158.61,0.75,PtIFG_616,RFLP,1,0,0,0,scaffold22143,15142--5515,98.8,94.3,AP,95.25,526,0,839,NA,NA,NA,NA,NA,NA,AT3G10860.1,Cytochrome b-c1 complex/ subunit 8 protein,55.88,68,1.00E-26,95.1,gb|H75116
2_5865,2_5865,8,158.4,158.02,158.78,0.76,2_5865_02_237,SNP,0,1,0,0,scaffold23340,125062--123747,99.5,99.3,AP,99.58,952,0,1698,CDD|176496,cd08766; Cyt_b561_ACYB-1_like; Plant cytochrome b(561); len=144,68.06,144,5.00E-80,239,AT5G38630.1,Cytochrome B561-1,58.7,230,2.00E-66,208,gb|DR178518.1
CL689Contig1,CL689Contig1,8,158.57,158.18,158.96,0.78,CL689Contig1_04_187,SNP,0,1,1,0,scaffold267523,56654--51145,99.8,99.8,AP,99.59,1215,0,2163,CDD|241124,cd12680; RRM_THOC4; RNA recognition motif in THO complex subunit 4 (THOC4) and; len=75,68.92,74,4.00E-43,143,AT5G02530.2,RNA-binding (RRM/RBD/RNP motifs) family protein,42.23,296,1.00E-36,134,gb|DR023975.1
2_4783,2_4783,8,158.92,158.54,159.29,0.75,2_4783_01_282,SNP,0,1,0,0,C32479800,54121--53092,97.9,88,AP,99.23,907,0,1606,CDD|201368,pfam00646; F-box domain; len=48,21.43,42,4.00E-07,46.8,AT1G53790.2,F-box and associated interaction domains-containing protein,16.67,348,8.00E-49,173,gb|CO175831.1
UMN_5604,UMN_5604,8,159.07,158.69,159.45,0.76,UMN_5604_01_113,SNP,0,1,0,0,tscaffold8345,77093--76467,100,99,AP,99.36,627,0,1113,CDD|219580,pfam07793; DUF1631; Unknown function; len=729,30.85,94,0.007,38,AT1G34370.1,C2H2 and C2HC zinc fingers superfamily protein,40.06,352,2.00E-69,234,gb|DN457263.1
2_5402,2_5402,8,159.13,158.74,159.51,0.77,2_5402_02_915,SNP,0,1,1,1,tscaffold2721,81266--79422,100,99.1,AP,99.91,1155,0,2075,CDD|223669,COG0596; MhpC; Hydrolases or acyltransferases (alpha/beta hydrolase; len=282,29.12,261,6.00E-33,123,AT1G78210.1,Alpha/beta-Hydrolases superfamily protein,44.7,302,1.00E-58,193,gb|DR164323.1
0_6061,0_6061,8,159.26,158.88,159.64,0.76,0_6061_114,SNP,0,0,0,1,tscaffold5247,205564--204958,73.7,99,AP,99.59,493,0,881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|DR385394.1
0_15107,0_15107,8,159.51,159.13,159.88,0.75,0_15107_334,SNP,0,0,0,1,C31891078,3700--2972,97.7,95.7,AP,96.78,745,0,1229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|DR166776.1
UMN_7078,UMN_7078,8,159.88,159.5,160.26,0.76,UMN_7078_240,SNP,0,0,0,1,scaffold76833.2,41673--40948,100,99,AP,74.03,385,1.00E-59,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|CK604175.1
estPtIFG_9113_a,PtIFG_9113,8,160.01,159.63,160.38,0.75,estPtIFG_9113_a,ESTP,1,0,0,0,tscaffold904,7704--7161,98.7,99.3,AP,98.73,551,0,964,CDD|240268,PTZ00104; S-adenosylmethionine synthase; len=398,70.71,396,0,737,AT3G17390.1,S-adenosylmethionine synthetase family protein,86.85,403,0,736,gb|AA739924
PtIFG_616_1,PtIFG_616,8,160.18,159.8,160.55,0.75,rflpPita_IFG_616_1,RFLP,0,1,0,0,scaffold22143,15142--5515,98.8,94.3,AP,95.25,526,0,839,NA,NA,NA,NA,NA,NA,AT3G10860.1,Cytochrome b-c1 complex/ subunit 8 protein,55.88,68,1.00E-26,95.1,gb|H75116
2_6191,2_6191,8,160.43,160.05,160.81,0.76,2_6191_625,SNP,0,0,0,1,tscaffold7982,218624--217661,100,99.5,AP,99.29,850,0,1508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|DR088964.1
2_10454,2_10454,8,161.18,160.81,161.56,0.75,2_10454_01_30,SNP,0,1,1,0,tscaffold5260,213038--212150,100,100,AP,100,889,0,1604,CDD|202864,pfam04046; PSP; Uncharacterized protein; len=48,63.89,36,5.00E-13,64.5,AT5G38600.1,Proline-rich spliceosome-associated (PSP) family protein / zinc knuckle (CCHC-type) family protein,38.96,521,5.00E-89,288,gb|CF672557.1
PtIFG_2738_A,PtIFG_2738,8,161.46,161.09,161.84,0.75,rflpPita_IFG_2738_A,RFLP,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UMN_4082,UMN_4082,8,161.6,161.23,161.98,0.75,UMN_4082_141,SNP,0,0,0,1,scaffold841834,146534--146256,100,97.5,AP,99.64,279,3.00E-138,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|BE656965.1
0_17127,0_17127,8,161.86,161.48,162.23,0.75,0_17127_01_76,SNP,0,1,0,0,scaffold890956.1,49936--48993,100,99.9,AP,99.87,788,0,1416,CDD|238666,cd01370; KISc_KIP3_like; Kinesin motor domain; KIP3-like subgroup; len=338,57.4,338,1.00E-167,493,AT1G18550.1,ATP binding microtubule motor family protein,52.33,730,0,546,gb|DR099514.1
PtIFG_2738_B,PtIFG_2738,8,162.46,162.08,162.83,0.75,rflpPita_IFG_2738_B,RFLP,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0_8279,0_8279,8,163.15,162.76,163.53,0.77,0_8279_72,SNP,0,0,0,1,tscaffold3232,20317--78643,100,99.9,AP,100,849,0,1532,CDD|132910,cd07032; RNAP_I_II_AC40; AC40 subunit of Eukaryotic RNA polymerase (RNAP) I and RNAP; len=291,53.48,316,4.00E-150,428,AT1G60620.1,RNA polymerase I subunit 43,65.23,371,1.00E-151,437,gb|CX646553.1
0_8541,0_8541,8,163.16,162.78,163.54,0.76,0_8541_01_99,SNP,0,1,0,0,tscaffold2225,53474--52318,99.1,99.7,AP,99.87,748,0,1344,CDD|222410,pfam13839; PC-Esterase; GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p; len=270,31.76,296,6.00E-70,228,AT5G19160.1,Trichome birefringence-like 11,30.41,365,4.00E-132,397,gb|CX648666.1
2_8123,2_8123,8,163.26,162.88,163.64,0.76,2_8123_01_187,SNP,0,1,0,0,tscaffold6613,10342--11137,100,99.7,AP,99.87,796,0,1431,CDD|239718,cd03749; proteasome_alpha_type_1; Uncharacterized protein; len=211,69.19,211,2.00E-134,381,AT1G47250.1,20S proteasome alpha subunit F2,65.59,279,1.00E-106,314,gb|DR167175.1
CL494Contig2,CL494Contig2,8,163.31,162.93,163.69,0.76,CL494Contig2_01_286,SNP,0,1,1,0,scaffold532889,72503--68651,99.9,99.7,AP,99.59,1205,0,2149,CDD|240292,PTZ00148; 40S ribosomal protein S8; len=205,65.74,216,2.00E-111,321,AT5G59240.1,Ribosomal protein S8e family protein,78.92,223,6.00E-101,295,gb|DR052279.1
